ProbeID,Accession,Region,Other1,UniGeneID,GeneDescription,SYMBOL,GENENAME
Hsa.37169,R83285,3' UTR,2a,194245,BUTYROPHILIN PRECURSOR (Bos taurus),NA,NA
Hsa.22191,R10707,3' UTR,2a,128957,TRANSLATIONAL INITIATION FACTOR 2 ALPHA SUBUNIT (Homo sapiens),NA,NA
Hsa.8052,T48014,3' UTR,1,72078,HEMOGLOBIN ALPHA CHAIN (HUMAN).,NA,NA
Hsa.1215,T69425,3' UTR,1,82963,ALPHA-2-MACROGLOBULIN PRECURSOR (HUMAN);.,NA,NA
Hsa.8219,R46753,3' UTR,2a,152524,CYCLIN-DEPENDENT KINASE INHIBITOR 1 (Homo sapiens),NA,NA
Hsa.470,T51499,3' UTR,1,71494,A42792 SUCCINATE DEHYDROGENASE.,NA,NA
Hsa.41164,U07664,gene,1,NA,"Human HB9 homeobox gene, exons 2 and 3 and complete cds.                                                                                                                                                                                            ",NA,NA
Hsa.1165,M28128,gene,1,NA,"Homo sapiens eosinophil cationic protein (ECP) mRNA, complete cds.                                                                                                                                                                                   ",RNASE3,ribonuclease A family member 3
Hsa.806,M64098,gene,1,NA,"Human high density lipoprotein binding protein (HBP) mRNA, complete cds.                                                                                                                                                                              ",HDLBP,high density lipoprotein binding protein
Hsa.2094,X51521,gene,1,NA,Human mRNA for ezrin.,EZR,ezrin
Hsa.2780,X65488,gene,1,NA,H.sapiens U21.1 mRNA.,HNRNPU,heterogeneous nuclear ribonucleoprotein U
Hsa.23285,R16077,3' UTR,2a,66419,HOMEOTIC GENE REGULATOR (Drosophila melanogaster),NA,NA
Hsa.6376,H45526,3' UTR,2a,158086,RHO-RELATED GTP-BINDING PROTEIN RHOG (Homo sapiens),NA,NA
Hsa.6376,H45526,3' UTR,2a,158086,RHO-RELATED GTP-BINDING PROTEIN RHOG (Homo sapiens),NA,NA
Hsa.6376,H45526,3' UTR,2a,158086,RHO-RELATED GTP-BINDING PROTEIN RHOG (Homo sapiens),NA,NA
Hsa.3209,D55673,gene,1,NA,Human mRNA for heterogeneous nuclear ribonucleoprotein D (hnRNP D).,HNRNPD,heterogeneous nuclear ribonucleoprotein D
Hsa.853,R42501,3' UTR,1,29607,INOSINE-5'-MONOPHOSPHATE DEHYDROGENASE 2 (HUMAN);.,NA,NA
Hsa.8964,T58756,3' UTR,2a,77501,POL POLYPROTEIN (Lelystad virus),NA,NA
Hsa.1133,M21984,gene,1,NA,"Human (clone PWHTnT16) skeletal muscle Troponin T mRNA, complete cds.                                                                                                                                                                                ",TNNT3,"troponin T3, fast skeletal type"
Hsa.2141,D23672,gene,1,NA,"Human mRNA for biotin-[propionyl-CoA-carboxylase(ATP-hydrolysing)] ligase, complete cds.                                                                                                                                                             ",HLCS,holocarboxylase synthetase
Hsa.9761,T50077,3' UTR,2a,70206,PROBABLE NUCLEAR ANTIGEN (Pseudorabies virus),NA,NA
Hsa.2487,D14812,gene,1,NA,"Human mRNA for ORF, complete cds.                                                                                                                                                                                                                    ",MORF4L2,mortality factor 4 like 2
Hsa.8,U01691,gene,1,NA,"Human annexin V (ANX5) gene, exon 13 and 3'-untranslated region.                                                                                                                                                                                        ",NA,NA
Hsa.19828,T98803,3' UTR,2a,122287,ER LUMEN PROTEIN RETAINING RECEPTOR 2 (Homo sapiens),NA,NA
Hsa.1244,J04794,gene,1,NA,"Human aldehyde reductase mRNA, complete cds.                                                                                                                                                                                                         ",AKR1A1,aldo-keto reductase family 1 member A1
Hsa.41299,U37673,gene,1,NA,"Human neuron-specific vesicle coat protein and cerebellar degeneration antigen (beta-NAP) mRNA, complete cds.                                                                                                                                       ",AP3B2,adaptor related protein complex 3 subunit beta 2
Hsa.41299,U37673,gene,1,NA,"Human neuron-specific vesicle coat protein and cerebellar degeneration antigen (beta-NAP) mRNA, complete cds.                                                                                                                                       ",AP3B2,adaptor related protein complex 3 subunit beta 2
Hsa.1207,T51571,3' UTR,1,72250,P24480 CALGIZZARIN.,NA,NA
Hsa.40595,H51015,3' UTR,2a,179925,PROTO-ONCOGENE DBL PRECURSOR (Homo sapiens),NA,NA
Hsa.41956,H59599,3' UTR,2a,207240,HIGH AFFINITY IMMUNOGLOBULIN EPSILON RECEPTOR BETA-SUBUNIT (Mus musculus),NA,NA
Hsa.834,M31627,gene,1,NA,X BOX BINDING PROTEIN-1 (HUMAN);.,XBP1,X-box binding protein 1
Hsa.1768,M63509,gene,1,NA,"Human glutathione transferase M2 (GSTM2) mRNA, complete cds.                                                                                                                                                                                         ",GSTM2,glutathione S-transferase mu 2
Hsa.608,H17897,3' UTR,1,50396,"ADP,ATP CARRIER PROTEIN, FIBROBLAST ISOFORM (HUMAN);.                                                                                                                                                                                          ",NA,NA
Hsa.1640,M80461,gene,1,NA,"Human B29 mRNA, complete cds.                                                                                                                                                                                                                        ",CD79B,CD79b molecule
Hsa.8182,T56011,3' UTR,2a,73248,HEMATOPOIETIC PROTEIN-TYROSINE PHOSPHATASE (Homo sapiens),NA,NA
Hsa.3150,D31883,gene,1,NA,"Human mRNA (KIAA0059) for ORF (related to actin bundling protein dematn), complete cds.                                                                                                                                                              ",ABLIM1,actin binding LIM protein 1
Hsa.3150,D31883,gene,1,NA,"Human mRNA (KIAA0059) for ORF (related to actin bundling protein dematn), complete cds.                                                                                                                                                              ",ABLIM1,actin binding LIM protein 1
Hsa.8010,R15447,3' UTR,2a,53083,CALNEXIN PRECURSOR (Homo sapiens),NA,NA
Hsa.36019,H27921,3' UTR,2a,162430,ATRIAL NATRIURETIC PEPTIDE RECEPTOR A PRECURSOR (Homo sapiens),NA,NA
Hsa.2062,Y00414,gene,1,NA,Human mRNA for tyrosine hydroxylase type 3.,TH,tyrosine hydroxylase
Hsa.31943,R72374,3' UTR,2a,155897,"CALPAIN I, LARGE (Oryctolagus cuniculus)                                                                                                                                                                                                   ",NA,NA
Hsa.17822,T89422,3' UTR,2a,116291,CELL DIVISION CONTROL PROTEIN 3 (Saccharomyces cerevisiae),NA,NA
Hsa.6422,T71643,3' UTR,2a,110357,CYCLIC-AMP-DEPENDENT TRANSCRIPTION FACTOR ATF-4 (Homo sapiens),NA,NA
Hsa.950,R49964,3' UTR,1,152738,GLUCOSE-6-PHOSPHATE ISOMERASE (HUMAN);.,NA,NA
Hsa.20028,T99478,3' UTR,2a,122540,GLUCOSE-6-PHOSPHATASE (Homo sapiens),NA,NA
Hsa.32389,R70939,3' UTR,2a,142680,TRANSCRIPTION FACTOR TAU 131 KD SUBUNIT (Saccharomyces cerevisiae),NA,NA
Hsa.1773,T53412,3' UTR,1,68806,"KERATIN, TYPE I CYTOSKELETAL 18 (HUMAN).                                                                                                                                                                                                      ",NA,NA
Hsa.847,R73660,3' UTR,1,143143,GAMMA-INTERFERON-INDUCIBLE PROTEIN IP-30 PRECURSOR (HUMAN);.,NA,NA
Hsa.1132,D16431,gene,1,NA,"Human mRNA for hepatoma-derived growth factor, complete cds.                                                                                                                                                                                         ",HDGF,heparin binding growth factor
Hsa.1106,H28711,3' UTR,1,49666,"Human tetracycline transporter-like protein mRNA, complete cds.                                                                                                                                                                               ",NA,NA
Hsa.2478,R54818,3' UTR,1,40360,"Human eukaryotic initiation factor 2B-epsilon mRNA, partial cds.                                                                                                                                                                              ",NA,NA
Hsa.1630,M97370,gene,1,NA,"Human adenosine receptor (A2) gene, complete cds.                                                                                                                                                                                                    ",ADORA2A,adenosine A2a receptor
Hsa.1445,J03075,gene,1,NA,"PROTEIN KINASE C SUBSTRATE, 80 KD PROTEIN, HEAVY CHAIN (HUMAN);contains TAR1 repetitive element ;.                                                                                                                                                   ",PRKCSH,PRKCSH beta subunit of glucosidase II
Hsa.4907,R83354,3' UTR,2a,186615,GDP DISSOCIATION INHIBITOR FOR RHO PROTEIN (Bos taurus),NA,NA
Hsa.6376,H45526,3' UTR,2a,158086,RHO-RELATED GTP-BINDING PROTEIN RHOG (Homo sapiens),NA,NA
Hsa.6376,H45526,3' UTR,2a,158086,RHO-RELATED GTP-BINDING PROTEIN RHOG (Homo sapiens),NA,NA
Hsa.6376,H45526,3' UTR,2a,158086,RHO-RELATED GTP-BINDING PROTEIN RHOG (Homo sapiens),NA,NA
Hsa.2416,R44863,3' UTR,1,33477,H.sapiens mRNA for phenylalkylamine binding protein.,NA,NA
Hsa.24944,R21427,3' UTR,2a,130122,PROTEIN-TYROSINE PHOSPHATASE PTP-H1 (Homo sapiens),NA,NA
Hsa.41240,Z19002,gene,1,NA,H.sapiens of PLZF gene encoding kruppel-like zinc finger protein.,ZBTB16,zinc finger and BTB domain containing 16
Hsa.897,L06895,gene,1,NA,"Homo sapiens antagonizer of myc transcriptional activity (Mad) mRNA, complete cds.                                                                                                                                                                    ",MXD1,MAX dimerization protein 1
Hsa.1739,R52000,3' UTR,1,39861,PLACENTAL RIBONUCLEASE INHIBITOR (HUMAN);.,NA,NA
Hsa.22167,R10620,3' UTR,2a,128901,TYROSINE-PROTEIN KINASE CSK (Homo sapiens),NA,NA
Hsa.9251,T73092,3' UTR,2a,85983,EUKARYOTIC INITIATION FACTOR 4A-I (Homo sapiens),NA,NA
Hsa.39288,R94588,3' UTR,2a,276282,CELL DIVISION PROTEIN KINASE 2 (HUMAN);.,NA,NA
Hsa.3022,X68148,gene,1,NA,H.sapiens SHC mRNA.,SHC1,SHC adaptor protein 1
Hsa.42949,H67764,3' UTR,2a,229939,ESTROGEN SULFOTRANSFERASE (Bos taurus),NA,NA
Hsa.2304,Y00970,gene,1,NA,Human mRNA for acrosin (EC 3.4.21.10).,ACR,acrosin
Hsa.6458,H89087,3' UTR,2a,253224,SPLICING FACTOR SC35 (Homo sapiens),NA,NA
Hsa.2739,X04828,gene,1,NA,Human mRNA for G(i) protein alpha-subunit (adenylate cyclase inhibiting GTP-binding protein).,GNAI2,G protein subunit alpha i2
Hsa.305,L19437,gene,1,NA,TRANSALDOLASE (HUMAN);contains Alu repetitive element;contains PTR5 repetitive element ;.,TALDO1,transaldolase 1
Hsa.305,L19437,gene,1,NA,TRANSALDOLASE (HUMAN);contains Alu repetitive element;contains PTR5 repetitive element ;.,TALDO1,transaldolase 1
Hsa.732,M28129,gene,1,NA,"Homo sapiens eosinophil-derived neurotoxin (EDN) mRNA, complete cds.                                                                                                                                                                                  ",RNASE2,ribonuclease A family member 2
Hsa.34562,H11324,3' UTR,2a,47625,CELLULAR RETINALDEHYDE-BINDING PROTEIN (Bos taurus),NA,NA
Hsa.5402,T51250,3' UTR,1,70115,CYTOCHROME C OXIDASE POLYPEPTIDE VIII-LIVER/HEART (HUMAN).,NA,NA
Hsa.3306,X12671,gene,1,NA,Human gene for heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1.,NA,NA
Hsa.7324,H65223,3' UTR,2a,238805,AFLATOXIN B1 ALDEHYDE REDUCTASE (Rattus norvegicus),NA,NA
Hsa.28914,Z48541,gene,1,NA,H.sapiens mRNA for protein tyrosine phosphatase.,PTPRO,protein tyrosine phosphatase receptor type O
Hsa.36010,H27771,3' UTR,2a,162849,G1/S-SPECIFIC CYCLIN D1 (Homo sapiens),NA,NA
Hsa.3194,T60318,3' UTR,1,78472,A42811 INITIATION FACTOR EIF-4A HOMOLOG - ;.,NA,NA
Hsa.9691,T49703,3' UTR,2a,67944,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus),NA,NA
Hsa.33843,H04461,3' UTR,2a,150162,ENDOGLIN PRECURSOR (Homo sapiens),NA,NA
Hsa.3135,U19796,gene,1,NA,"Human melanoma antigen p15 mRNA, complete cds.                                                                                                                                                                                                       ",MRPL28,mitochondrial ribosomal protein L28
Hsa.45499,H87344,3' UTR,2a,252396,SERUM ALBUMIN PRECURSOR (Homo sapiens),NA,NA
Hsa.1920,X06614,gene,1,NA,Human mRNA for receptor of retinoic acid.,RARA,retinoic acid receptor alpha
Hsa.1920,X06614,gene,1,NA,Human mRNA for receptor of retinoic acid.,RARA,retinoic acid receptor alpha
Hsa.465,U07695,gene,1,NA,"Human tyrosine kinase (HTK) mRNA, complete cds.                                                                                                                                                                                                       ",EPHB4,EPH receptor B4
Hsa.465,U07695,gene,1,NA,"Human tyrosine kinase (HTK) mRNA, complete cds.                                                                                                                                                                                                       ",EPHB4,EPH receptor B4
Hsa.465,U07695,gene,1,NA,"Human tyrosine kinase (HTK) mRNA, complete cds.                                                                                                                                                                                                       ",EPHB4,EPH receptor B4
Hsa.1515,M85289,gene,1,NA,"Human heparan sulfate proteoglycan (HSPG2) mRNA, complete cds.                                                                                                                                                                                       ",HSPG2,heparan sulfate proteoglycan 2
Hsa.36666,U31216,gene,1,NA,"Human metabotropic glutamate receptor 1 beta (mGluR1beta) mRNA, complete cds.                                                                                                                                                                       ",GRM1,glutamate metabotropic receptor 1
Hsa.2298,U03865,gene,1,NA,"Human adrenergic alpha-1b receptor protein mRNA, complete cds.                                                                                                                                                                                       ",ADRA1B,adrenoceptor alpha 1B
Hsa.22762,H17434,3' UTR,1,50609,NUCLEOLIN (HUMAN);.,NA,NA
Hsa.318,M60706,gene,1,NA,"Homo sapiens type I DNA topoisomerase gene, exon 21.                                                                                                                                                                                                  ",NA,NA
Hsa.8080,R56892,3' UTR,2a,41107,14-3-3 PROTEIN GAMMA (Bos taurus),NA,NA
Hsa.3098,X16316,gene,1,NA,VAV ONCOGENE (HUMAN);.,VAV1,vav guanine nucleotide exchange factor 1
Hsa.5142,H82719,3' UTR,2a,249109,BETA-ADAPTIN (Homo sapiens),NA,NA
Hsa.2301,U09770,gene,1,NA,"Human cysteine-rich heart protein (hCRHP) mRNA, complete cds.                                                                                                                                                                                        ",CRIP1,cysteine rich protein 1
Hsa.27592,H42477,3' UTR,2a,182692,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1 (Homo sapiens),NA,NA
Hsa.26883,R61368,3' UTR,2a,37974,"ALKALINE PHOSPHATASE, PLACENTAL TYPE 1 PRECURSOR (Homo sapiens)                                                                                                                                                                             ",NA,NA
Hsa.2007,X02744,gene,1,NA,Human mRNA for c-sis gene (clone pSM-1).,PDGFB,platelet derived growth factor subunit B
Hsa.168,U02493,gene,1,NA,"Human 54 kDa protein mRNA, complete cds.                                                                                                                                                                                                              ",NONO,non-POU domain containing octamer binding
Hsa.168,U02493,gene,1,NA,"Human 54 kDa protein mRNA, complete cds.                                                                                                                                                                                                              ",NONO,non-POU domain containing octamer binding
Hsa.11765,R54854,3' UTR,2a,154475,VON WILLEBRAND FACTOR PRECURSOR (Homo sapiens),NA,NA
Hsa.977,L11369,gene,1,NA,"Human protocadherin 42 mRNA, 3' end of cds for alternative splicing PC42-8.                                                                                                                                                                           ",PCDH1,protocadherin 1
Hsa.3228,U29171,gene,1,NA,"Human casein kinase I delta mRNA, complete cds.                                                                                                                                                                                                      ",CSNK1D,casein kinase 1 delta
Hsa.7395,R10066,3' UTR,2a,128808,PROHIBITIN (Homo sapiens),NA,NA
Hsa.1485,T62864,3' UTR,1,79590,"GUANINE NUCLEOTIDE-BINDING PROTEIN G(S), ALPHA SUBUNIT (HUMAN);.                                                                                                                                                                              ",NA,NA
Hsa.400,D30755,gene,1,NA,"Human mRNA (HA1652) for ORF, partial cds.                                                                                                                                                                                                             ",TNIP1,TNFAIP3 interacting protein 1
Hsa.19653,R53612,3' UTR,2a,154206,DEOXYCYTIDINE KINASE (Homo sapiens),NA,NA
Hsa.2858,Z25821,gene,1,NA,"H.sapiens gene for mitochondrial dodecenoyl-CoA delta-isomerase, exons 1 and 2.                                                                                                                                                                      ",NA,NA
Hsa.845,M27749,gene,1,NA,IMMUNOGLOBULIN-RELATED 14.1 PROTEIN PRECURSOR (HUMAN);.,IGLL1,immunoglobulin lambda like polypeptide 1
Hsa.21160,R99591,3' UTR,2a,201340,ANTIGEN WC1.1 (Bos taurus),NA,NA
Hsa.1668,M91670,gene,1,NA,"Human ubiquitin carrier protein (E2-EPF) mRNA, complete cds.                                                                                                                                                                                         ",UBE2S,ubiquitin conjugating enzyme E2 S
Hsa.347,D16111,gene,1,NA,"Human mRNA for human homologue of rat phosphatidylethanolamine binding protein, complete cds.                                                                                                                                                         ",PEBP1,phosphatidylethanolamine binding protein 1
Hsa.285,T62972,3' UTR,1,80738,P02403 60S RIBOSOMAL PROTEIN ;.,NA,NA
Hsa.2646,X68277,gene,1,NA,H.sapiens CL 100 mRNA for protein tyrosine phosphatase.,DUSP1,dual specificity phosphatase 1
Hsa.3076,Z17227,gene,1,NA,H.sapiens mRNA for transmenbrane receptor protein.,IL10RB,interleukin 10 receptor subunit beta
Hsa.36938,H43663,3' UTR,2a,188406,TEASHIRT PROTEIN (Drosophila melanogaster),NA,NA
Hsa.16742,R38513,3' UTR,2a,26871,FIBROBLAST GROWTH FACTOR RECEPTOR 2 PRECURSOR (Homo sapiens),NA,NA
Hsa.16742,R38513,3' UTR,2a,26871,FIBROBLAST GROWTH FACTOR RECEPTOR 2 PRECURSOR (Homo sapiens),NA,NA
Hsa.28193,H29293,3' UTR,2a,49960,PROBABLE NUCLEAR ANTIGEN (Pseudorabies virus),NA,NA
Hsa.43684,H72110,3' UTR,2a,213627,T-CELL RECEPTOR BETA CHAIN PRECURSOR (Oryctolagus cuniculus),NA,NA
Hsa.1175,U13896,gene,1,NA,"Human homolog of Drosophila discs large protein, isoform 2 (hdlg-2) mRNA, complete cds.                                                                                                                                                              ",DLG1,discs large MAGUK scaffold protein 1
Hsa.3517,U39360,gene,1,NA,"Human DNA-binding protein (CROC-1A) mRNA, complete cds.                                                                                                                                                                                              ",UBE2V1,ubiquitin conjugating enzyme E2 V1
Hsa.2156,T67905,3' UTR,1,81962,"ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR (HUMAN);.                                                                                                                                                                                   ",NA,NA
Hsa.301,U18934,gene,1,NA,"Human receptor tyrosine kinase (DTK) mRNA, complete cds.                                                                                                                                                                                              ",NA,NA
Hsa.3159,D25216,gene,1,NA,"Human mRNA (KIAA0014) for ORF, complete cds.                                                                                                                                                                                                         ",LRRC14,leucine rich repeat containing 14
Hsa.1258,H71150,3' UTR,1,214726,APOLIPOPROTEIN C-III PRECURSOR (HUMAN);.,NA,NA
Hsa.3820,H89983,3' UTR,2a,250531,METALLOPAN-STIMULIN 1 (Homo sapiens),NA,NA
Hsa.7265,H17923,3' UTR,2a,50636,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II BETA CHAIN (Mus musculus),NA,NA
Hsa.1486,M57298,gene,1,NA,"Human GTP-binding protein G25K mRNA, complete cds.                                                                                                                                                                                                   ",CDC42,cell division cycle 42
Hsa.37058,H46136,3' UTR,2a,177791,HOMEOBOX PROTEIN HOX-A10 (Homo sapiens),NA,NA
Hsa.2830,X51345,gene,1,NA,Human jun-B mRNA for JUN-B protein.,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit"
Hsa.2966,X70944,gene,1,NA,H.sapiens mRNA for PTB-associated splicing factor.,SFPQ,splicing factor proline and glutamine rich
Hsa.10068,T52003,3' UTR,2a,72611,CCAAT/ENHANCER BINDING PROTEIN ALPHA (Rattus norvegicus),NA,NA
Hsa.16164,T81919,3' UTR,2a,109677,CREB-BINDING PROTEIN (Mus musculus),NA,NA
Hsa.10047,T51849,3' UTR,2a,75009,TYROSINE-PROTEIN KINASE RECEPTOR ELK PRECURSOR (Rattus norvegicus),NA,NA
Hsa.6051,H08749,3' UTR,2a,45641,CHITINASE 2 PRECURSOR (Rhizopus oligosporus),NA,NA
Hsa.1036,R80612,3' UTR,1,147093,"PHOSPHOLIPASE A2, MEMBRANE ASSOCIATED PRECURSOR (HUMAN);.                                                                                                                                                                                    ",NA,NA
Hsa.1715,L35249,gene,1,NA,"VACUOLAR ATP SYNTHASE SUBUNIT B, BRAIN ISOFORM (HUMAN);.                                                                                                                                                                                             ",ATP6V1B2,ATPase H+ transporting V1 subunit B2
Hsa.1920,X06614,gene,1,NA,Human mRNA for receptor of retinoic acid.,RARA,retinoic acid receptor alpha
Hsa.1920,X06614,gene,1,NA,Human mRNA for receptor of retinoic acid.,RARA,retinoic acid receptor alpha
Hsa.12892,T69271,3' UTR,2a,82871,SEX HORMONE-BINDING GLOBULIN PRECURSOR (Homo sapiens),NA,NA
Hsa.1414,M28650,gene,1,NA,"Human excision repair protein (ERCC-1) mRNA, complete cds. cDNA clone pcDE.                                                                                                                                                                          ",ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit"
Hsa.1414,M28650,gene,1,NA,"Human excision repair protein (ERCC-1) mRNA, complete cds. cDNA clone pcDE.                                                                                                                                                                          ",ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit"
Hsa.2568,X73358,gene,1,NA,H.sapiens hAES-1 mRNA.,TLE5,"TLE family member 5, transcriptional modulator"
Hsa.2840,X53683,gene,1,NA,Human LAG-1 mRNA.,CCL4,C-C motif chemokine ligand 4
Hsa.36354,H30734,3' UTR,2a,190187,"RYANODINE RECEPTOR, SKELETAL MUSCLE (Homo sapiens)                                                                                                                                                                                         ",NA,NA
Hsa.14896,T71207,3' UTR,2a,110162,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 2 (Homo sapiens),NA,NA
Hsa.978,L11370,gene,1,NA,"Human protocadherin 42 mRNA, complete cds for abbreviated PC42.                                                                                                                                                                                       ",NA,NA
Hsa.852,M88279,gene,1,NA,P59 PROTEIN (HUMAN);.,FKBP4,FKBP prolyl isomerase 4
Hsa.919,H66976,3' UTR,1,212229,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DP(1) ALPHA CHAIN (HUMAN);.                                                                                                                                                                          ",NA,NA
Hsa.41163,U06088,gene,1,NA,"Human N-acetylgalactosamine 6-sulphatase (GALNS) gene, exon 14.                                                                                                                                                                                     ",NA,NA
Hsa.35201,H19272,3' UTR,2a,171859,CIRCUMSPOROZOITE PROTEIN PRECURSOR (Plasmodium berghei yoelii),NA,NA
Hsa.9972,T51261,3' UTR,2a,70133,GLIA DERIVED NEXIN PRECURSOR (Mus musculus),NA,NA
Hsa.38375,R92729,3' UTR,2a,195957,X BOX BINDING PROTEIN-1 (Homo sapiens),NA,NA
Hsa.38375,R92729,3' UTR,2a,195957,X BOX BINDING PROTEIN-1 (Homo sapiens),NA,NA
Hsa.359,U09413,gene,1,NA,"Human zinc finger protein ZNF135 mRNA, complete cds.                                                                                                                                                                                                  ",ZNF135,zinc finger protein 135
Hsa.3260,U18920,gene,1,NA,"Human chromosome 17q12-21 mRNA, clone pOV-3, partial cds.                                                                                                                                                                                            ",ATP6V0A1,ATPase H+ transporting V0 subunit a1
Hsa.109,D13138,gene,1,NA,Human mRNA for dipeptidase.,DPEP1,dipeptidase 1
Hsa.1522,M34192,gene,1,NA,ISOVALERYL-COA DEHYDROGENASE PRECURSOR (HUMAN);contains MER22 repetitive element ;.,IVD,isovaleryl-CoA dehydrogenase
Hsa.1522,M34192,gene,1,NA,ISOVALERYL-COA DEHYDROGENASE PRECURSOR (HUMAN);contains MER22 repetitive element ;.,IVD,isovaleryl-CoA dehydrogenase
Hsa.465,U07695,gene,1,NA,"Human tyrosine kinase (HTK) mRNA, complete cds.                                                                                                                                                                                                       ",EPHB4,EPH receptor B4
Hsa.465,U07695,gene,1,NA,"Human tyrosine kinase (HTK) mRNA, complete cds.                                                                                                                                                                                                       ",EPHB4,EPH receptor B4
Hsa.465,U07695,gene,1,NA,"Human tyrosine kinase (HTK) mRNA, complete cds.                                                                                                                                                                                                       ",EPHB4,EPH receptor B4
Hsa.7614,T83673,3' UTR,2a,113295,SYNAPTIC VESICLE PROTEIN 2 (Rattus norvegicus),NA,NA
Hsa.370,U01877,gene,1,NA,"Human p300 protein mRNA, complete cds.                                                                                                                                                                                                                ",EP300,EP300 lysine acetyltransferase
Hsa.12024,T89164,3' UTR,2a,109993,HYPOTHETICAL 18.8 KD PROTEIN ZK637.14 IN CHROMOSOME III (Caenorhabditis elegans),NA,NA
Hsa.896,H17969,3' UTR,1,50308,H.sapiens mRNA for 90K product.,NA,NA
Hsa.12754,T67921,3' UTR,2a,81975,ASIALOGLYCOPROTEIN RECEPTOR R2/3 (Rattus norvegicus),NA,NA
Hsa.43155,H69872,3' UTR,2a,212391,"PROTEIN KINASE C, DELTA TYPE (Homo sapiens)                                                                                                                                                                                                ",NA,NA
Hsa.2179,D49396,gene,1,NA,"Human mRNA for Apo1_Human (MER5(Aop1-Mouse)-like protein), complete cds.                                                                                                                                                                             ",PRDX3,peroxiredoxin 3
Hsa.17956,T90036,3' UTR,2a,117612,"CLASS I HISTOCOMPATIBILITY ANTIGEN, E-1 ALPHA CHAIN PRECURSOR (Pongo pygmaeus)                                                                                                                                                             ",NA,NA
Hsa.15844,T80178,3' UTR,2a,115041,SERUM ALBUMIN PRECURSOR (Homo sapiens),NA,NA
Hsa.3136,U25265,gene,1,NA,"Human MEK5 mRNA, complete cds.                                                                                                                                                                                                                       ",NA,NA
Hsa.44686,H81864,3' UTR,2a,249332,CELL DIVISION CONTROL PROTEIN 2 HOMOLOG (Plasmodium falciparum),NA,NA
Hsa.733,M14200,gene,1,NA,"Human diazepam binding inhibitor (DBI) mRNA, complete cds.                                                                                                                                                                                            ",DBI,"diazepam binding inhibitor, acyl-CoA binding protein"
Hsa.733,M14200,gene,1,NA,"Human diazepam binding inhibitor (DBI) mRNA, complete cds.                                                                                                                                                                                            ",DBI,"diazepam binding inhibitor, acyl-CoA binding protein"
Hsa.2843,Z15009,gene,1,NA,H.sapiens mRNA for laminin.,LAMC2,laminin subunit gamma 2
Hsa.2149,X62899,gene,1,NA,H.sapiens mRNA for islet cell antigen ICA-512 (putative tyrosine phosphatase).,PTPRN,protein tyrosine phosphatase receptor type N
Hsa.16100,T81492,3' UTR,2a,115880,NEGATIVE REGULATOR OF MITOSIS (Emericella nidulans),NA,NA
Hsa.16100,T81492,3' UTR,2a,115880,NEGATIVE REGULATOR OF MITOSIS (Emericella nidulans),NA,NA
Hsa.321,X65024,gene,1,NA,H.sapiens mRNA for xeroderma pigmentosum group C complementing factor (XP-C).,XPC,"XPC complex subunit, DNA damage recognition and repair factor"
Hsa.13834,T65380,3' UTR,2a,21425,RIBOSE-PHOSPHATE PYROPHOSPHOKINASE III (Homo sapiens),NA,NA
Hsa.34384,H11272,3' UTR,2a,47327,COMPLEMENT C9 (Oncorhynchus mykiss),NA,NA
Hsa.557,H65019,3' UTR,1,238799,60 KD RO PROTEIN (HUMAN);.,NA,NA
Hsa.612,M34175,gene,1,NA,"Human beta adaptin mRNA, complete cds.                                                                                                                                                                                                                ",AP2B1,adaptor related protein complex 2 subunit beta 1
Hsa.612,M34175,gene,1,NA,"Human beta adaptin mRNA, complete cds.                                                                                                                                                                                                                ",AP2B1,adaptor related protein complex 2 subunit beta 1
Hsa.612,M34175,gene,1,NA,"Human beta adaptin mRNA, complete cds.                                                                                                                                                                                                                ",AP2B1,adaptor related protein complex 2 subunit beta 1
Hsa.1761,L23823,gene,1,NA,"Homo sapiens integrin beta 7 subunit gene, exon 15.                                                                                                                                                                                                  ",NA,NA
Hsa.1284,M22490,gene,1,NA,Human bone morphogenetic protein-2B (BMP-2B) mRNA.,BMP4,bone morphogenetic protein 4
Hsa.44876,H83703,3' UTR,2a,249247,NUCLEOSIDE DIPHOSPHATE KINASE A (Homo sapiens),NA,NA
Hsa.2363,X07862,gene,1,NA,Human mRNA for protamine 2.,PRM2,protamine 2
Hsa.2567,R72874,3' UTR,1,157835,ANION EXCHANGE PROTEIN 2 (HUMAN);.,NA,NA
Hsa.37038,H45781,3' UTR,2a,188277,,NA,NA
Hsa.154,T47584,3' UTR,1,71261,60S RIBOSOMAL PROTEIN L22 (HUMAN).,NA,NA
